classes,precision,recall,f-score,iou_class,iou_micro,iou_macro,plant_nr
1.0,0.9919066722551544,0.9685309063625158,0.9800794259246021,0.9609370090539515,0.8942652397022445,0.7366298470207363,Harvest_01_PotNr_179
2.0,0.7870933262074955,0.7834297493184387,0.7852572647294055,0.6464391528585537,0.8942652397022445,0.7366298470207363,Harvest_01_PotNr_179
3.0,0.9399488926746167,0.6992475247524752,0.8019257846209747,0.6693456668435818,0.8942652397022445,0.7366298470207363,Harvest_01_PotNr_179
4.0,0.7398993868888539,0.8760761319744986,0.8022500159802272,0.669797559326858,0.8942652397022445,0.7366298470207363,Harvest_01_PotNr_179
1.0,0.9880659256818852,0.9659280165783084,0.976871564646259,0.9547887937534558,0.907704844587277,0.7500421146589562,Harvest_01_PotNr_429
2.0,0.8781904325233073,0.7259633607075173,0.7948540600359663,0.6595500459136823,0.907704844587277,0.7500421146589562,Harvest_01_PotNr_429
3.0,0.860765512322688,0.9574261789334508,0.9065264563511934,0.8290337353075866,0.907704844587277,0.7500421146589562,Harvest_01_PotNr_429
4.0,0.6481725888324873,0.797962754655668,0.7153100666629321,0.5567958836610998,0.907704844587277,0.7500421146589562,Harvest_01_PotNr_429
1.0,0.9865634405290901,0.9724581797830614,0.979460030119079,0.9597468585511303,0.9083991940491021,0.7163589346331813,Harvest_02_PotNr_27
2.0,0.842173072793644,0.6990671974333076,0.7639763651710928,0.6180920361420467,0.9083991940491021,0.7163589346331813,Harvest_02_PotNr_27
3.0,0.8654239766081872,0.8549866397053514,0.8601736476913576,0.7546532381438041,0.9083991940491021,0.7163589346331813,Harvest_02_PotNr_27
4.0,0.6443392556088704,0.7550624976254702,0.6953205632817283,0.5329436056957443,0.9083991940491021,0.7163589346331813,Harvest_02_PotNr_27
1.0,0.9707108058930562,0.9504324588373897,0.960464609800363,0.9239364228051062,0.8405779602350479,0.6046765602721127,Harvest_02_PotNr_166
2.0,0.6144642994094639,0.6104380952380952,0.6124445803393976,0.4413838695460555,0.8405779602350479,0.6046765602721127,Harvest_02_PotNr_166
3.0,0.6926839349683108,0.8125252525252525,0.7478338477557547,0.597232121644096,0.8405779602350479,0.6046765602721127,Harvest_02_PotNr_166
4.0,0.6006590968415557,0.6547051710647983,0.6265187353231461,0.45615382709319324,0.8405779602350479,0.6046765602721127,Harvest_02_PotNr_166
1.0,0.9665507815944274,0.9578008906031075,0.9621559435309311,0.9270717864920457,0.8441939205046669,0.6526557672203276,Harvest_02_PotNr_240
2.0,0.9193098950613624,0.606532368472521,0.7308634992458521,0.5758746193270445,0.8441939205046669,0.6526557672203276,Harvest_02_PotNr_240
3.0,0.6156660210888746,0.8509815585960737,0.7144462479710326,0.5557498057498057,0.8441939205046669,0.6526557672203276,Harvest_02_PotNr_240
4.0,0.6819035835395473,0.7433002822248308,0.7112794713382646,0.5519268573124142,0.8441939205046669,0.6526557672203276,Harvest_02_PotNr_240
